RBP,Role,DOWN_OR,DOWN_CI_low,DOWN_CI_high,DOWN_p,partial_rho,partial_p
ZFP36L2,destabiliser,2.368046361751555,1.6198204852468505,3.4618919951183393,9.6548338668695e-06,-0.15618329842392187,3.4230626048492717e-54
TTP_9mer,destabiliser,1.508,0.7581912530681918,2.999327664091992,0.21303996891808832,-0.019155151155823252,0.05881100613361115
AUF1,destabiliser,2.4114203604785556,1.6432328950157202,3.5387242870858526,5.762104391049868e-06,-0.15878405038923835,5.656432009116912e-56
HuR,stabiliser,1.711489449976292,0.9541363763006244,3.069997340146724,0.09286774328611133,-0.05022465445410902,7.15165696428291e-07
KSRP,destabiliser,0.7503355285745498,0.5072113445397095,1.109997659756941,0.1735901454924721,0.2541188205229358,2.86904755769911e-143
